,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Associativity,BlockSize(byte),CacheSize(byte),Miss,Access,Read Miss,Read Access,Write Miss,Write Access,writeback_volume,memory_access_volume
2,1024,131072,6913,6322343,6529,5666010,384,656333,1439744,7078912
2,1024,131072,8889,7678430,8017,6544752,872,1133678,2242560,9102336
4,1024,131072,4868,6322343,4531,5666010,337,656333,1145856,4984832
4,1024,131072,6076,7678430,5561,6544752,515,1133678,1612800,6221824
8,1024,131072,4414,6322343,4080,5666010,334,656333,1044480,4519936
8,1024,131072,5500,7678430,5006,6544752,494,1133678,1431552,5632000
16,1024,131072,3934,6322343,3594,5666010,340,656333,1007616,4028416
16,1024,131072,4895,7678430,4394,6544752,501,1133678,1372160,5012480
32,1024,131072,3778,6322343,3447,5666010,331,656333,986112,3868672
32,1024,131072,4614,7678430,4110,6544752,504,1133678,1342464,4724736
64,1024,131072,3721,6322343,3395,5666010,326,656333,967680,3810304
64,1024,131072,4606,7678430,4106,6544752,500,1133678,1349632,4716544
1,2048,131072,37293,6322343,30223,5666010,7070,656333,21905408,76376064
1,2048,131072,2350750,7678430,1874111,6544752,476639,1133678,1114365952,519368704
2,2048,131072,9799,6322343,9228,5666010,571,656333,4235264,20068352
2,2048,131072,12668,7678430,11392,6544752,1276,1133678,6275072,25944064
4,2048,131072,7174,6322343,6872,5666010,302,656333,3149824,14692352
4,2048,131072,8286,7678430,7854,6544752,432,1133678,3854336,16969728
8,2048,131072,6021,6322343,5743,5666010,278,656333,2531328,12331008
8,2048,131072,7160,7678430,6758,6544752,402,1133678,3239936,14663680
16,2048,131072,5462,6322343,5183,5666010,279,656333,2473984,11186176
16,2048,131072,6537,7678430,6142,6544752,395,1133678,3080192,13387776
32,2048,131072,4604,6322343,4337,5666010,267,656333,2230272,9428992
32,2048,131072,5719,7678430,5315,6544752,404,1133678,2951168,11712512
64,2048,131072,4333,6322343,4071,5666010,262,656333,2168832,8873984
64,2048,131072,5204,7678430,4818,6544752,386,1133678,2760704,10657792
4,128,8192,27114,6322343,24437,5666010,2677,656333, 754816, 3470592
4,128,8192,27114,6322343,24437,5666010,2677,656333, 754816, 3470592
1,128,8192,116134,6322343,90251,5666010,25883,656333, 4044160, 14865152
